Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1725365143.895	     4.104	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_1 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.0.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
2	:	1725365144.401	     3.601	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_2 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.0.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
3	:	1725365144.899	     4.755	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_3 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.1.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
5	:	1725365145.896	     6.917	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_5 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.2.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
4	:	1725365145.398	     8.371	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_4 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.1.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
7	:	1725365146.893	     7.910	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_7 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.3.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
6	:	1725365146.395	    12.347	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_6 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.2.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
8	:	1725365147.393	    12.112	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_8 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.3.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
9	:	1725365147.891	    12.305	0	372	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_9 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.4.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
11	:	1725365148.888	    17.503	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_11 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.5.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
12	:	1725365149.387	    18.133	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_12 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.5.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
10	:	1725365148.390	    19.395	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_10 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.4.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
13	:	1725365149.885	    21.865	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_13 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.6.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
19	:	1725365152.877	    19.975	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_19 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.9.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
22	:	1725365154.374	    21.531	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_22 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_1.0.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
15	:	1725365150.883	    27.860	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_15 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.7.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
14	:	1725365150.385	    29.329	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_14 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.6.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
21	:	1725365153.875	    27.161	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_21 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_1.0.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
17	:	1725365151.880	    30.813	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_17 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.8.csv' LS_INTEG_False_False_500_WELFARE.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
16	:	1725365151.382	    32.046	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_16 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.7.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
18	:	1725365152.380	    34.905	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_18 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.8.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
20	:	1725365153.377	    35.138	0	375	0	0	scripts/queue_job.sh 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals_20 'manhattan_5_1_0_25_100_[0.05]_[1]_5_1_svp_plus_20_0.9.csv' LS_INTEG_False_False_500_SELFISH.csv 030924_MAN5_DF20_25STAGCAP_SVPPLUS_THETA1_5K_LS_INTEG_0KLSIT_VARContr_VARGoals
